"SiteID" "Sediment Type" "Species" "Type" "Biome" "Height x longest canopy axis in 1994 (cm^2)" "Standard Deviation of area in 1994 (cm^2)" "Number of individuals in 1994" "Height x longest canopy axis in 2008 (cm^2)" "Standard Deviation of area in 2008 (cm^2)" "Number of individuals in 2008" "Height x longest canopy axis in 2012 (cm^2)" "Standard Deviation of area in 2012 (cm^2)" "Number of individuals in 2012"
"1" "2a" "shale" "Protea lorifolia" "Protea" "Fynbos" 0 0 0 0 0 0 0 0 0
"2" "2b" "sandstone" "Protea lorifolia" "Protea" "Fynbos" 1177 602 43 22500 12990 3 32000 0 1
"3" "3" "africa" "Protea lorifolia" "Protea" "Fynbos" 762 NA 28 0 0 0 0 0 0
"4" "4a" "shale" "Protea lorifolia" "Protea" "Fynbos" 783 272 39 8150 2319 8 9900 0 1
"5" "4b" "sandstone" "Protea lorifolia" "Protea" "Fynbos" 549 221 30 0 0 0 0 0 0
"6" "5a" "shale" "Protea lorifolia" "Protea" "Fynbos" 800 304 41 22750 2552 20 1800 0 6
"7" "5b" "sandstone" "Protea lorifolia" "Protea" "Fynbos" 316 145 53 19042 9319 24 662 320 6
"8" "2a" "shale" "Protea neriifolia" "Protea" "Fynbos" 87 17 3 0 0 0 0 0 0
"9" "2b" "sandstone" "Protea neriifolia" "Protea" "Fynbos" 2897 1531 57 0 0 0 0 0 0
"10" "3" "africa" "Protea neriifolia" "Protea" "Fynbos" 1983 NA 64 0 0 0 0 0 0
"11" "4a" "shale" "Protea neriifolia" "Protea" "Fynbos" 1878 827 76 7558 3416 24 0 0 0
"12" "4b" "sandstone" "Protea neriifolia" "Protea" "Fynbos" 1353 657 73 0 0 0 0 0 0
"13" "5a" "shale" "Protea neriifolia" "Protea" "Fynbos" 2191 860 73 29000 15982 22 4435 1430 45
"14" "5b" "sandstone" "Protea neriifolia" "Protea" "Fynbos" 720 343 75 23108 3604 37 2238 763 45
"15" "2a" "shale" "Mastersiella purpurea" "Restio" "Fynbos" 0 0 0 0 0 0 0 0 0
"16" "2b" "sandstone" "Mastersiella purpurea" "Restio" "Fynbos" 0 0 0 0 0 0 0 0 0
"17" "3" "africa" "Mastersiella purpurea" "Restio" "Fynbos" 46 NA 5 0 0 0 0 0 0
"18" "4a" "shale" "Mastersiella purpurea" "Restio" "Fynbos" 152 81 8 0 0 0 0 0 0
"19" "4b" "sandstone" "Mastersiella purpurea" "Restio" "Fynbos" 230 186 12 0 0 0 0 0 0
"20" "5a" "shale" "Mastersiella purpurea" "Restio" "Fynbos" 153 95 10 0 0 0 0 0 0
"21" "5b" "sandstone" "Mastersiella purpurea" "Restio" "Fynbos" 145 85 17 0 0 0 0 0 0
"22" "2a" "shale" "Hypodiscus aristatus" "Restio" "Fynbos" 0 0 0 0 0 0 0 0 0
"23" "2b" "sandstone" "Hypodiscus aristatus" "Restio" "Fynbos" 119 42 2 0 0 0 0 0 0
"24" "3" "africa" "Hypodiscus aristatus" "Restio" "Fynbos" 0 0 0 0 0 0 0 0 0
"25" "4a" "shale" "Hypodiscus aristatus" "Restio" "Fynbos" 128 59 8 NA NA NA 0 0 0
"26" "4b" "sandstone" "Hypodiscus aristatus" "Restio" "Fynbos" 231 114 7 NA NA NA 0 0 0
"27" "5a" "shale" "Hypodiscus aristatus" "Restio" "Fynbos" 88 31 3 NA NA NA 6875 2223 4
"28" "5b" "sandstone" "Hypodiscus aristatus" "Restio" "Fynbos" 85 33 7 NA NA NA 4000 2236 5
"29" "2a" "shale" "Metalasia massonii" "Ericoid" "Fynbos" 1160 152 2 0 0 0 0 0 0
"30" "2b" "sandstone" "Metalasia massonii" "Ericoid" "Fynbos" 1083 678 7 0 0 0 0 0 0
"31" "3" "africa" "Metalasia massonii" "Ericoid" "Fynbos" 1696 NA 8 0 0 0 0 0 0
"32" "4a" "shale" "Metalasia massonii" "Ericoid" "Fynbos" 2826 809 13 0 0 0 0 0 0
"33" "4b" "sandstone" "Metalasia massonii" "Ericoid" "Fynbos" 2720 1018 7 0 0 0 4200 0 1
"34" "5a" "shale" "Metalasia massonii" "Ericoid" "Fynbos" 2512 622 7 0 0 0 0 0 0
"35" "5b" "sandstone" "Metalasia massonii" "Ericoid" "Fynbos" 468 192 3 0 0 0 0 0 0
"36" "2a" "shale" "Phylica lachnaeoides" "Ericoid" "Fynbos" 374 0 1 0 0 0 0 0 0
"37" "2b" "sandstone" "Phylica lachnaeoides" "Ericoid" "Fynbos" 3313 1870 10 NA NA NA 0 0 0
"38" "3" "africa" "Phylica lachnaeoides" "Ericoid" "Fynbos" 3350 NA 8 NA NA NA 0 0 0
"39" "4a" "shale" "Phylica lachnaeoides" "Ericoid" "Fynbos" 1584 701 13 NA NA NA 866 311 22
"40" "4b" "sandstone" "Phylica lachnaeoides" "Ericoid" "Fynbos" 1076 849 12 NA NA NA 0 0 0
"41" "5a" "shale" "Phylica lachnaeoides" "Ericoid" "Fynbos" 2099 660 17 NA NA NA 6091 1663 34
"42" "5b" "sandstone" "Phylica lachnaeoides" "Ericoid" "Fynbos" 2362 999 15 NA NA NA 0 0 0
"43" "2a" "shale" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 3210 2871 10 NA NA NA 0 0 0
"44" "2b" "sandstone" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 2213 1157 7 NA NA NA 0 0 0
"45" "3" "africa" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 6759 NA 2 NA NA NA 0 0 0
"46" "4a" "shale" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 5407 1364 8 NA NA NA 1243 493 78
"47" "4b" "sandstone" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 3610 2101 8 NA NA NA 0 0 0
"48" "5a" "shale" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 5657 1550 10 NA NA NA 0 0 0
"49" "5b" "sandstone" "Hermannia salvifolia" "Fynbos pioneer" "Fynbos" 1427 1530 17 NA NA NA 0 0 0
